ts,te,td,sa,da,sp,dp,pr,flg,fwd,stos,ipkt,ibyt,opkt,obyt,in,out,sas,das,smk,dmk,dtos,dir,nh,nhb,svln,dvln,ismc,odmc,idmc,osmc,mpls1,mpls2,mpls3,mpls4,mpls5,mpls6,mpls7,mpls8,mpls9,mpls10,cl,sl,al,ra,eng,exid,tr
2023-05-19 17:34:01,2023-05-19 17:39:05,303.430,172.31.1.100,35.227.226.142,59210,443,TCP,...AP.S.,0,0,189,17330,0,0,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.092,    5.718,    5.151,0.0.0.0,0/0,0,1970-01-01 07:30:00.000
2023-05-19 17:34:01,2023-05-19 17:39:05,303.427,35.227.226.142,172.31.1.100,443,59210,TCP,...AP.S.,0,0,319,27602,0,0,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.092,    5.718,    5.151,0.0.0.0,0/0,0,1970-01-01 07:30:00.000
2023-05-19 17:37:15,2023-05-19 17:38:28,73.277,194.242.2.2,172.31.1.100,443,34112,TCP,...APRSF,0,0,38,8421,0,0,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.065,    9.190,    5.240,0.0.0.0,0/0,0,1970-01-01 07:30:00.000
2023-05-19 17:37:15,2023-05-19 17:38:28,73.283,172.31.1.100,194.242.2.2,34112,443,TCP,...AP.SF,0,0,41,3595,0,0,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.065,    9.190,    5.240,0.0.0.0,0/0,0,1970-01-01 07:30:00.000
2023-05-19 17:39:09,2023-05-19 17:39:29,20.350,194.242.2.2,172.31.1.100,443,36428,TCP,...APRSF,0,0,15,6521,0,0,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.044,    4.513,    5.432,0.0.0.0,0/0,0,1970-01-01 07:30:00.000
2023-05-19 17:39:30,2023-05-19 17:39:48,18.456,194.242.2.2,172.31.1.100,443,50558,TCP,...APRSF,0,0,15,6193,0,0,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.055,    7.831,    4.329,0.0.0.0,0/0,0,1970-01-01 07:30:00.000
2023-05-19 17:38:33,2023-05-19 17:39:07,33.962,194.242.2.2,172.31.1.100,443,56704,TCP,...APRSF,0,0,21,7046,0,0,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.069,    6.811,    4.816,0.0.0.0,0/0,0,1970-01-01 07:30:00.000
2023-05-19 17:39:09,2023-05-19 17:39:29,20.344,172.31.1.100,194.242.2.2,36428,443,TCP,...AP.SF,0,0,17,1459,0,0,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.044,    4.513,    5.432,0.0.0.0,0/0,0,1970-01-01 07:30:00.000
2023-05-19 17:39:30,2023-05-19 17:39:48,18.461,172.31.1.100,194.242.2.2,50558,443,TCP,...AP.SF,0,0,17,1336,0,0,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.055,    7.831,    4.329,0.0.0.0,0/0,0,1970-01-01 07:30:00.000
2023-05-19 17:38:33,2023-05-19 17:39:07,33.963,172.31.1.100,194.242.2.2,56704,443,TCP,...AP.SF,0,0,25,2088,0,0,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.069,    6.811,    4.816,0.0.0.0,0/0,0,1970-01-01 07:30:00.000
2023-05-19 17:39:41,2023-05-19 17:41:01,79.565,74.82.42.42,172.31.1.100,443,57142,TCP,...AP.SF,0,0,49,13025,0,0,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.096,   11.453,    5.208,0.0.0.0,0/0,0,1970-01-01 07:30:00.000
2023-05-19 17:41:10,2023-05-19 17:41:26,15.802,203.29.241.76,172.31.1.100,443,45638,TCP,...AP.S.,0,0,15,5443,0,0,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.115,   99.748,    5.760,0.0.0.0,0/0,0,1970-01-01 07:30:00.000
2023-05-19 17:39:41,2023-05-19 17:41:01,79.576,172.31.1.100,74.82.42.42,57142,443,TCP,...APRSF,0,0,50,4509,0,0,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.096,   11.453,    5.208,0.0.0.0,0/0,0,1970-01-01 07:30:00.000
2023-05-19 17:41:10,2023-05-19 17:41:26,15.902,172.31.1.100,203.29.241.76,45638,443,TCP,...AP.S.,0,0,13,1159,0,0,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.115,   99.748,    5.760,0.0.0.0,0/0,0,1970-01-01 07:30:00.000
2023-05-19 17:41:13,2023-05-19 17:41:14,0.563,172.31.1.100,167.235.236.107,47304,443,TCP,...AP.S.,0,0,12,1156,0,0,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.110,  171.975,    4.384,0.0.0.0,0/0,0,1970-01-01 07:30:00.000
2023-05-19 17:41:20,2023-05-19 17:41:27,6.366,172.31.1.100,136.244.97.114,36626,443,TCP,...AP.SF,0,0,15,1271,0,0,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.111,  237.898,    5.713,0.0.0.0,0/0,0,1970-01-01 07:30:00.000
2023-05-19 17:39:05,2023-05-19 17:41:01,115.915,172.31.1.100,35.227.226.142,59210,443,TCP,...AP..F,0,0,57,5032,0,0,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    4.879,    0.386,19365.437,0.0.0.0,0/0,0,1970-01-01 07:30:00.000
2023-05-19 17:41:18,2023-05-19 17:41:29,11.205,172.31.1.100,172.67.134.157,47598,443,TCP,...AP.S.,0,0,19,1634,0,0,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.094,    8.121,    4.805,0.0.0.0,0/0,0,1970-01-01 07:30:00.000
2023-05-19 17:41:14,2023-05-19 17:41:14,0.539,167.235.236.107,172.31.1.100,443,47304,TCP,...AP.S.,0,0,10,4326,0,0,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.110,  171.975,    4.384,0.0.0.0,0/0,0,1970-01-01 07:30:00.000
2023-05-19 17:41:21,2023-05-19 17:41:27,6.350,136.244.97.114,172.31.1.100,443,36626,TCP,...APRSF,0,0,13,6823,0,0,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.111,  237.898,    5.713,0.0.0.0,0/0,0,1970-01-01 07:30:00.000
2023-05-19 17:39:05,2023-05-19 17:41:01,115.914,35.227.226.142,172.31.1.100,443,59210,TCP,...AP..F,0,0,101,7081,0,0,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    4.879,    0.386,19365.437,0.0.0.0,0/0,0,1970-01-01 07:30:00.000
2023-05-19 17:41:18,2023-05-19 17:41:29,11.196,172.67.134.157,172.31.1.100,443,47598,TCP,...AP.S.,0,0,18,7667,0,0,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.094,    8.121,    4.805,0.0.0.0,0/0,0,1970-01-01 07:30:00.000
2023-05-19 17:41:01,2023-05-19 17:41:05,4.033,185.228.168.168,172.31.1.100,443,37650,TCP,...AP.S.,0,0,9,6190,0,0,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.071,    5.225,    5.650,0.0.0.0,0/0,0,1970-01-01 07:30:00.000
2023-05-19 17:41:41,2023-05-19 17:41:41,0.002,203.29.241.76,172.31.1.100,443,45638,TCP,...AP..F,0,0,4,152,0,0,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.449,   96.597,    1.376,0.0.0.0,0/0,0,1970-01-01 07:30:00.000
2023-05-19 17:41:40,2023-05-19 17:41:41,0.098,172.31.1.100,203.29.241.76,45638,443,TCP,...APR.F,0,0,5,148,0,0,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.449,   96.597,    1.376,0.0.0.0,0/0,0,1970-01-01 07:30:00.000
2023-05-19 17:41:44,2023-05-19 17:41:44,0.158,172.31.1.100,167.235.236.107,47304,443,TCP,...APR.F,0,0,4,128,0,0,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.147,  157.446,    0.000,0.0.0.0,0/0,0,1970-01-01 07:30:00.000
2023-05-19 17:41:42,2023-05-19 17:41:42,0.201,172.31.1.100,172.67.134.157,47598,443,TCP,...AP...,0,0,3,221,0,0,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,  195.479,    5.985,    0.000,0.0.0.0,0/0,0,1970-01-01 07:30:00.000
2023-05-19 17:41:01,2023-05-19 17:41:35,34.049,172.31.1.100,185.228.168.168,37650,443,TCP,...AP.SF,0,0,16,1309,0,0,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.088,34048.674,    0.330,0.0.0.0,0/0,0,1970-01-01 07:30:00.000
2023-05-19 17:41:44,2023-05-19 17:41:44,0.000,167.235.236.107,172.31.1.100,443,47304,TCP,...AP..F,0,0,2,144,0,0,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.147,  157.446,    0.000,0.0.0.0,0/0,0,1970-01-01 07:30:00.000
2023-05-19 17:41:42,2023-05-19 17:41:42,0.195,172.67.134.157,172.31.1.100,443,47598,TCP,...AP...,0,0,3,585,0,0,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,  195.479,    5.985,    0.000,0.0.0.0,0/0,0,1970-01-01 07:30:00.000
2023-05-19 17:41:35,2023-05-19 17:41:35,0.000,185.228.168.168,172.31.1.100,443,37650,TCP,...A...F,0,0,2,64,0,0,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.088,34048.674,    0.330,0.0.0.0,0/0,0,1970-01-01 07:30:00.000
2023-05-19 17:42:48,2023-05-19 17:43:04,15.802,146.112.41.2,172.31.1.100,443,50314,TCP,...APRSF,0,0,17,9768,0,0,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.130,   81.709,    5.166,0.0.0.0,0/0,0,1970-01-01 07:30:00.000
2023-05-19 17:42:56,2023-05-19 17:43:27,31.017,185.95.218.43,172.31.1.100,443,51996,TCP,...APRSF,0,0,12,4200,0,0,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.095,  214.572,  409.650,0.0.0.0,0/0,0,1970-01-01 07:30:00.000
2023-05-19 17:42:53,2023-05-19 17:43:23,30.782,95.215.19.53,172.31.1.100,443,47032,TCP,...AP.SF,0,0,17,6632,0,0,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.140,  165.571,    4.793,0.0.0.0,0/0,0,1970-01-01 07:30:00.000
2023-05-19 17:42:48,2023-05-19 17:43:04,15.803,172.31.1.100,146.112.41.2,50314,443,TCP,...AP.SF,0,0,21,1638,0,0,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.130,   81.709,    5.166,0.0.0.0,0/0,0,1970-01-01 07:30:00.000
2023-05-19 17:42:56,2023-05-19 17:43:27,31.232,172.31.1.100,185.95.218.43,51996,443,TCP,...APRSF,0,0,16,1289,0,0,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.095,  214.572,  409.650,0.0.0.0,0/0,0,1970-01-01 07:30:00.000
2023-05-19 17:42:52,2023-05-19 17:43:23,30.948,172.31.1.100,95.215.19.53,47032,443,TCP,...AP.SF,0,0,16,1188,0,0,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.140,  165.571,    4.793,0.0.0.0,0/0,0,1970-01-01 07:30:00.000
2023-05-19 17:42:30,2023-05-19 17:43:01,31.420,172.31.1.100,194.30.136.105,58768,443,TCP,...APRSF,0,0,17,1283,0,0,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.147,  292.459,    6.086,0.0.0.0,0/0,0,1970-01-01 07:30:00.000
2023-05-19 17:41:53,2023-05-19 17:42:57,63.104,172.31.1.100,172.67.134.157,47598,443,TCP,...AP..F,0,0,22,1485,0,0,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,  308.651,    7.704, 4016.878,0.0.0.0,0/0,0,1970-01-01 07:30:00.000
2023-05-19 17:42:41,2023-05-19 17:43:12,31.133,172.31.1.100,112.213.32.219,39930,443,TCP,...APRSF,0,0,18,1306,0,0,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.135,   99.015,    5.514,0.0.0.0,0/0,0,1970-01-01 07:30:00.000
2023-05-19 17:42:30,2023-05-19 17:43:01,31.128,194.30.136.105,172.31.1.100,443,58768,TCP,...AP.SF,0,0,14,3502,0,0,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.147,  292.459,    6.086,0.0.0.0,0/0,0,1970-01-01 07:30:00.000
