srcip,dstip,srcport,dstport,proto,ts,td,pkt,byt
1959440410,2887713124,443,33230,TCP,1684512723000,36.117,15,7683
2887713124,1959440410,33230,443,TCP,1684512723000,36.284,19,1590
2887713124,2737796528,38574,443,TCP,1684512740000,38.217,28,2041
2737796528,2887713124,443,38574,TCP,1684512740000,38.118,24,6158
755707147,2887713124,443,34182,TCP,1684512752000,38.063,15,4707
3242611979,2887713124,443,39774,TCP,1684512750000,31.003,13,4980
2887713124,755707147,34182,443,TCP,1684512751000,38.221,17,1484
2887713124,3242611979,39774,443,TCP,1684512749000,31.248,15,1234
3270640130,2887713124,443,36766,TCP,1684512800000,28.938,23,7050
2507173900,2887713124,443,54124,TCP,1684512755000,44.274,13,4942
1246898730,2887713124,443,41456,TCP,1684512779000,32.041,15,6341
1607930677,2887713124,443,36554,TCP,1684512788000,38.483,22,7368
3586441056,2887713124,443,53126,TCP,1684512765000,31.24,15,5912
2887713124,3270640130,36766,443,TCP,1684512800000,28.938,24,2056
2887713124,2507173900,54124,443,TCP,1684512755000,44.283,18,1538
2887713124,1246898730,41456,443,TCP,1684512779000,32.041,15,1256
2887713124,1607930677,36554,443,TCP,1684512787000,38.826,18,1500
2887713124,3586441056,53126,443,TCP,1684512764000,31.49,17,1721
2887713124,2817256555,57356,443,TCP,1684512785000,30.765,14,1221
2887713124,603244703,37066,443,TCP,1684512797000,1.846,15,1242
2887713124,83968767,38900,443,TCP,1684512774000,32.833,17,1600
2817256555,2887713124,443,57356,TCP,1684512785000,30.602,12,4491
603244703,2887713124,443,37066,TCP,1684512797000,1.843,15,6678
83968767,2887713124,443,38900,TCP,1684512774000,32.574,14,7104
3270640130,2887713124,443,35906,TCP,1684512899000,5.048,12,6122
3270640130,2887713124,443,42336,TCP,1684512856000,27.544,15,6475
3270640130,2887713124,443,57498,TCP,1684512840000,14.166,16,6252
2887713124,3270640130,35906,443,TCP,1684512899000,5.052,13,1184
