ts,te,td,sa,da,sp,dp,pr,flg,fwd,stos,ipkt,ibyt,opkt,obyt,in,out,sas,das,smk,dmk,dtos,dir,nh,nhb,svln,dvln,ismc,odmc,idmc,osmc,mpls1,mpls2,mpls3,mpls4,mpls5,mpls6,mpls7,mpls8,mpls9,mpls10,cl,sl,al,ra,eng,exid,tr
2023-05-18 18:18:23,2023-05-18 18:18:46,23.523,172.31.1.100,103.62.48.147,37462,443,TCP,...AP.S.,0,0,15,1442,0,0,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.056,    4.523,   13.801,0.0.0.0,0/0,0,1970-01-01 07:30:00.000
2023-05-18 18:18:23,2023-05-18 18:18:46,23.518,103.62.48.147,172.31.1.100,443,37462,TCP,...AP.S.,0,0,15,4840,0,0,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.056,    4.523,   13.801,0.0.0.0,0/0,0,1970-01-01 07:30:00.000
2023-05-18 18:18:49,2023-05-18 18:18:56,6.996,1.0.0.1,172.31.1.100,443,41540,TCP,...AP...,0,0,6,1372,0,0,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0, 6047.838,    1.403,   42.119,0.0.0.0,0/0,0,1970-01-01 07:30:00.000
2023-05-18 18:19:13,2023-05-18 18:19:13,0.013,194.242.2.2,172.31.1.100,443,45816,TCP,...AP.S.,0,0,5,5022,0,0,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.093,    8.114,    6.828,0.0.0.0,0/0,0,1970-01-01 07:30:00.000
2023-05-18 18:18:51,2023-05-18 18:19:00,9.461,76.76.2.11,172.31.1.100,443,37432,TCP,...AP...,0,0,18,1498,0,0,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    1.279,    4.924, 2015.374,0.0.0.0,0/0,0,1970-01-01 07:30:00.000
2023-05-18 18:18:49,2023-05-18 18:18:56,6.995,172.31.1.100,1.0.0.1,41540,443,TCP,...AP...,0,0,5,362,0,0,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0, 6047.838,    1.403,   42.119,0.0.0.0,0/0,0,1970-01-01 07:30:00.000
2023-05-18 18:19:13,2023-05-18 18:19:13,0.021,172.31.1.100,194.242.2.2,45816,443,TCP,...AP.S.,0,0,6,481,0,0,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.093,    8.114,    6.828,0.0.0.0,0/0,0,1970-01-01 07:30:00.000
2023-05-18 18:18:51,2023-05-18 18:19:00,9.466,172.31.1.100,76.76.2.11,37432,443,TCP,...AP...,0,0,17,1365,0,0,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    1.279,    4.924, 2015.374,0.0.0.0,0/0,0,1970-01-01 07:30:00.000
2023-05-18 18:19:01,2023-05-18 18:19:01,0.014,172.31.1.100,103.62.48.147,37462,443,TCP,...APR.F,0,0,4,128,0,0,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.163,   13.777,    0.000,0.0.0.0,0/0,0,1970-01-01 07:30:00.000
2023-05-18 18:19:01,2023-05-18 18:19:01,0.000,103.62.48.147,172.31.1.100,443,37462,TCP,...AP..F,0,0,3,120,0,0,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.163,   13.777,    0.000,0.0.0.0,0/0,0,1970-01-01 07:30:00.000
